XEnd,YEnd,T,WalksToEndCount,XVisit,YVisit,VisitsToXYVisitCount,DwellVisitXYDuration,DwellVisitXYDurationCount,DwellVisitXYDurationProbabilityGivenVisit
0,-4,4,1,0,-4,1,0.5,1,1
0,-4,4,1,0,-3,1,1,1,1
0,-4,4,1,0,-2,1,1,1,1
0,-4,4,1,0,-1,1,1,1,1
0,-4,4,1,0,0,1,0.5,1,1
-1,-3,4,4,-1,-3,4,0.5,4,1
-1,-3,4,4,0,-3,1,1,1,1
-1,-3,4,4,-1,-2,3,1,3,1
-1,-3,4,4,0,-2,2,1,2,1
-1,-3,4,4,-1,-1,2,1,2,1
-1,-3,4,4,0,-1,3,1,3,1
-1,-3,4,4,-1,0,1,1,1,1
-1,-3,4,4,0,0,4,0.5,4,1
0,-3,4,4,0,-3,4,0.5,3,0.75
0,-3,4,4,0,-3,4,1.5,1,0.25
0,-3,4,4,0,-2,4,1,3,0.75
0,-3,4,4,0,-2,4,2,1,0.25
0,-3,4,4,0,-1,4,1,3,0.75
0,-3,4,4,0,-1,4,2,1,0.25
0,-3,4,4,0,0,4,0.5,3,0.75
0,-3,4,4,0,0,4,1.5,1,0.25
1,-3,4,4,0,-3,1,1,1,1
1,-3,4,4,1,-3,4,0.5,4,1
1,-3,4,4,0,-2,2,1,2,1
1,-3,4,4,1,-2,3,1,3,1
1,-3,4,4,0,-1,3,1,3,1
1,-3,4,4,1,-1,2,1,2,1
1,-3,4,4,0,0,4,0.5,4,1
1,-3,4,4,1,0,1,1,1,1
-2,-2,4,6,-2,-2,6,0.5,6,1
-2,-2,4,6,-1,-2,3,1,3,1
-2,-2,4,6,0,-2,1,1,1,1
-2,-2,4,6,-2,-1,3,1,3,1
-2,-2,4,6,-1,-1,4,1,4,1
-2,-2,4,6,0,-1,3,1,3,1
-2,-2,4,6,-2,0,1,1,1,1
-2,-2,4,6,-1,0,3,1,3,1
-2,-2,4,6,0,0,6,0.5,6,1
-1,-2,4,12,-1,-2,12,0.5,9,0.75
-1,-2,4,12,-1,-2,12,1.5,3,0.25
-1,-2,4,12,0,-2,4,1,3,0.75
-1,-2,4,12,0,-2,4,2,1,0.25
-1,-2,4,12,-1,-1,8,1,6,0.75
-1,-2,4,12,-1,-1,8,2,2,0.25
-1,-2,4,12,0,-1,8,1,6,0.75
-1,-2,4,12,0,-1,8,2,2,0.25
-1,-2,4,12,-1,0,4,1,3,0.75
-1,-2,4,12,-1,0,4,2,1,0.25
-1,-2,4,12,0,0,12,0.5,9,0.75
-1,-2,4,12,0,0,12,1.5,3,0.25
0,-2,4,22,0,-3,1,1,1,1
0,-2,4,22,-1,-2,3,1,3,1
0,-2,4,22,0,-2,22,0.5,15,0.681818181818182
0,-2,4,22,0,-2,22,1.5,6,0.272727272727273
0,-2,4,22,0,-2,22,2.5,1,0.0454545454545455
0,-2,4,22,1,-2,3,1,3,1
0,-2,4,22,-1,-1,4,1,4,1
0,-2,4,22,0,-1,20,1,13,0.65
0,-2,4,22,0,-1,20,2,6,0.3
0,-2,4,22,0,-1,20,3,1,0.05
0,-2,4,22,1,-1,4,1,4,1
0,-2,4,22,-1,0,3,1,3,1
0,-2,4,22,0,0,22,0.5,15,0.681818181818182
0,-2,4,22,0,0,22,1.5,6,0.272727272727273
0,-2,4,22,0,0,22,2.5,1,0.0454545454545455
0,-2,4,22,1,0,3,1,3,1
0,-2,4,22,0,1,1,1,1,1
1,-2,4,12,0,-2,4,1,3,0.75
1,-2,4,12,0,-2,4,2,1,0.25
1,-2,4,12,1,-2,12,0.5,9,0.75
1,-2,4,12,1,-2,12,1.5,3,0.25
1,-2,4,12,0,-1,8,1,6,0.75
1,-2,4,12,0,-1,8,2,2,0.25
1,-2,4,12,1,-1,8,1,6,0.75
1,-2,4,12,1,-1,8,2,2,0.25
1,-2,4,12,0,0,12,0.5,9,0.75
1,-2,4,12,0,0,12,1.5,3,0.25
