XEnd,YEnd,T,WalksToEndCount,XVisit,YVisit,VisitsToXYVisitCount,VisitToXYVisitProbability
0,-6,6,1,0,-6,1,1
0,-6,6,1,0,-5,1,1
0,-6,6,1,0,-4,1,1
0,-6,6,1,0,-3,1,1
0,-6,6,1,0,-2,1,1
0,-6,6,1,0,-1,1,1
0,-6,6,1,0,0,1,1
-1,-5,6,6,-1,-5,6,1
-1,-5,6,6,0,-5,1,0.166666666666667
-1,-5,6,6,-1,-4,5,0.833333333333333
-1,-5,6,6,0,-4,2,0.333333333333333
-1,-5,6,6,-1,-3,4,0.666666666666667
-1,-5,6,6,0,-3,3,0.5
-1,-5,6,6,-1,-2,3,0.5
-1,-5,6,6,0,-2,4,0.666666666666667
-1,-5,6,6,-1,-1,2,0.333333333333333
-1,-5,6,6,0,-1,5,0.833333333333333
-1,-5,6,6,-1,0,1,0.166666666666667
-1,-5,6,6,0,0,6,1
0,-5,6,6,0,-5,6,1
0,-5,6,6,0,-4,6,1
0,-5,6,6,0,-3,6,1
0,-5,6,6,0,-2,6,1
0,-5,6,6,0,-1,6,1
0,-5,6,6,0,0,6,1
1,-5,6,6,0,-5,1,0.166666666666667
1,-5,6,6,1,-5,6,1
1,-5,6,6,0,-4,2,0.333333333333333
1,-5,6,6,1,-4,5,0.833333333333333
1,-5,6,6,0,-3,3,0.5
1,-5,6,6,1,-3,4,0.666666666666667
1,-5,6,6,0,-2,4,0.666666666666667
1,-5,6,6,1,-2,3,0.5
1,-5,6,6,0,-1,5,0.833333333333333
1,-5,6,6,1,-1,2,0.333333333333333
1,-5,6,6,0,0,6,1
1,-5,6,6,1,0,1,0.166666666666667
-2,-4,6,15,-2,-4,15,1
-2,-4,6,15,-1,-4,5,0.333333333333333
-2,-4,6,15,0,-4,1,0.0666666666666667
-2,-4,6,15,-2,-3,10,0.666666666666667
-2,-4,6,15,-1,-3,8,0.533333333333333
-2,-4,6,15,0,-3,3,0.2
-2,-4,6,15,-2,-2,6,0.4
-2,-4,6,15,-1,-2,9,0.6
-2,-4,6,15,0,-2,6,0.4
-2,-4,6,15,-2,-1,3,0.2
-2,-4,6,15,-1,-1,8,0.533333333333333
-2,-4,6,15,0,-1,10,0.666666666666667
-2,-4,6,15,-2,0,1,0.0666666666666667
-2,-4,6,15,-1,0,5,0.333333333333333
-2,-4,6,15,0,0,15,1
-1,-4,6,30,-1,-4,30,1
-1,-4,6,30,0,-4,6,0.2
-1,-4,6,30,-1,-3,24,0.8
-1,-4,6,30,0,-3,12,0.4
-1,-4,6,30,-1,-2,18,0.6
-1,-4,6,30,0,-2,18,0.6
-1,-4,6,30,-1,-1,12,0.4
-1,-4,6,30,0,-1,24,0.8
-1,-4,6,30,-1,0,6,0.2
-1,-4,6,30,0,0,30,1
0,-4,6,51,0,-5,1,0.0196078431372549
0,-4,6,51,-1,-4,5,0.0980392156862745
0,-4,6,51,0,-4,51,1
0,-4,6,51,1,-4,5,0.0980392156862745
0,-4,6,51,-1,-3,8,0.156862745098039
0,-4,6,51,0,-3,45,0.882352941176471
0,-4,6,51,1,-3,8,0.156862745098039
0,-4,6,51,-1,-2,9,0.176470588235294
0,-4,6,51,0,-2,43,0.843137254901961
0,-4,6,51,1,-2,9,0.176470588235294
